platform,category,ranking_type,ranking_label,rank,product_name,product_key,price,original_price,discount_rate,discount_amount,delivery_type,review_count,rating,price_group,review_group,is_top20,duplicate_in_ranking_type,duplicate_in_platform,duplicate_overall,collected_date,source_file
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,48,"종근당건강 프로메가 알티지 오메가3 듀얼, 60정, 2개",종근당건강 프로메가 알티지 오메가3 듀얼,18260,25800.0,29,7540.0,로켓배송,122909,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,49,"이너랩 차전자피 가르시니아 슬리밍 환, 110g, 1개",이너랩 차전자피 가르시니아 슬리밍 환 110g,13280,22000.0,39,8720.0,로켓배송,8997,5.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,50,"솔가 엽산 800, 100정, 1개",솔가 엽산 800,18100,40000.0,54,21900.0,로켓배송,15486,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,51,"베네틴 크레아틴 모노하이드레이트 분말 파우더 무맛, 1개, 300g",베네틴 크레아틴 모노하이드레이트 분말 파우더 무맛 300g,12900,23000.0,43,10100.0,판매자로켓,65,5.0,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,52,"비타할로 온가족 생 유산균, 300g, 1개",비타할로 온가족 생 유산균 300g,18990,27500.0,30,8510.0,로켓배송,48922,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,53,"락토핏 당케어 유산균, 120g, 1개",락토핏 당케어 유산균 120g,13730,35000.0,60,21270.0,로켓배송,20318,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,54,"닥터블릿 정품 이뮨 올인원 멀티비타민앤미네랄 프로, 30회분, 1개",닥터블릿 이뮨 올인원 멀티비타민앤미네랄 프로,47900,109000.0,56,61100.0,로켓배송,3040,5.0,high_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,55,"뉴트리디데이 프리미엄 비오틴 10000, 90정, 1개",뉴트리디데이 프리미엄 비오틴 10000,12900,21500.0,40,8600.0,로켓배송,8748,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,56,"알유21 비타민 C 4.5g, 6정, 2개",알유21 비타민 c 4 5g,6300,12000.0,47,5700.0,로켓배송,13500,5.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,57,"오쏘몰 이뮨 멀티비타민, 30회분, 1개",오쏘몰 이뮨 멀티비타민,81700,,0,,로켓배송,2854,4.5,high_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,58,"바이탈프로그램 정품 비타민C 1000mg, 600정, 1개",바이탈프로그램 비타민c 1000mg,28360,45000.0,36,16640.0,로켓배송,68541,5.0,mid_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,59,"솔가 철분 25, 90정, 1개",솔가 철분 25,23470,42000.0,44,18530.0,로켓배송,23566,5.0,mid_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
