app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
com.yodo1.crossyroad,Crossy Road,100,4.55,0.06,0.02,0.04,0.0,0.01,0.09,0.01,0.47,0.13,4.3,HIPSTER WHALE,Action,4.4568067,4571872.0,349555.0,"100,000,000+",100000000,177600599,True,True,True,2026-06-04 01:32:58,Everyone
com.easybrain.art.puzzle,Art Puzzle - Puzzle Games,100,4.27,0.14,0.04,0.0,0.02,0.01,0.0,0.0,0.24,0.07,4.15,Easybrain,Puzzle,4.7746353,1801218.0,42241.0,"100,000,000+",100000000,137376461,True,True,True,2026-06-02 20:32:37,Everyone
com.moonactive.coinmaster,Coin Master,100,4.4,0.11,0.01,0.1,0.03,0.01,0.01,0.1,0.51,0.16,3.900000000000001,Moon Active,Casual,4.7513156,10382177.0,691073.0,"100,000,000+",100000000,345137646,True,True,True,2026-06-01 07:09:38,Teen
com.sega.sonicboomandroid,Sonic Boom Dash,100,4.29,0.1,0.03,0.0,0.01,0.01,0.03,0.0,0.32,0.08,3.8000000000000007,SEGA,Arcade,4.4382024,763010.0,25661.0,"100,000,000+",100000000,174827244,True,True,True,2026-05-11 10:38:16,Everyone
com.mediocre.smashhit,Smash Hit,100,4.6,0.05,0.06,0.0,0.01,0.02,0.02,0.02,0.28,0.13,3.8,Mediocre,Arcade,4.5248213,4666122.0,170012.0,"100,000,000+",100000000,206912663,True,True,True,2026-03-30 11:13:54,Everyone
com.robtopx.geometrydashsubzero,Geometry Dash SubZero,100,4.35,0.1,0.02,0.02,0.11,0.02,0.03,0.01,0.33,0.19,3.7500000000000004,RobTop Games,Arcade,4.522756,961103.0,38502.0,"100,000,000+",100000000,184711222,True,True,False,2026-01-30 10:39:33,Everyone
com.wildspike.wormszone,Worms Zone .io - Hungry Snake,100,4.39,0.12,0.03,0.01,0.0,0.01,0.0,0.0,0.07,0.04,3.45,CASUAL AZUR GAMES,Action,4.278161,3194190.0,7852.0,"500,000,000+",500000000,664562954,True,True,True,2026-06-03 10:19:24,Everyone
com.outfit7.herodash,Talking Tom: Hero Dash Run,100,4.51,0.1,0.0,0.02,0.01,0.02,0.03,0.04,0.24,0.1,3.45,Outfit7 Limited,Action,4.276849,2090247.0,11538.0,"500,000,000+",500000000,544089873,True,True,True,2026-05-19 12:40:20,Everyone
com.rioo.runnersubway,Subway Princess Runner,100,4.3,0.14,0.01,0.0,0.0,0.0,0.01,0.01,0.09,0.03,3.45,Ivy,Arcade,4.3547277,2017313.0,6004.0,"500,000,000+",500000000,781244373,True,True,True,2026-05-29 10:08:09,Teen
com.solou.catendless.run,Cat Runner: Decorate Home,100,4.36,0.13,0.01,0.0,0.0,0.0,0.01,0.0,0.06,0.02,3.15,Ivy,Role Playing,4.370565,744288.0,2570.0,"100,000,000+",100000000,421998455,True,True,True,2026-05-21 07:29:45,Everyone
