platform,product_key,representative_product_name,category,brand_or_seller,appear_count,ranking_type_count,ranking_types_present,ranking_labels_present,is_in_multiple_ranking_types,best_rank,avg_rank,price_representative,price_median_across_appearances,review_count_representative,review_count_max,rating_representative,rating_median_across_appearances,rank_coupang_rank,rank_coupang_sales,rank_naver_buy_daily,rank_naver_buy_weekly,source_files
coupang,센트룸 멀티 구미 비타민,"센트룸 정품 멀티 구미 비타민, 80정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,21,27.0,21230,21230.0,45697,45697,5.0,5.0,33,21,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,뉴트리디데이 다이어트 키토산 올뉴,"뉴트리디데이 다이어트 키토산 올뉴, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,34,34.0,10900,10900,16540,16540,4.0,4.0,34,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,담백하루 초임계 알티지 오메가에센스 1000,"담백하루 정품 초임계 알티지 오메가에센스 1000, 30정, 2개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,35,35.0,31370,31370,12348,12348,5.0,5.0,35,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,네이처드림 활력에 좋은 비타민b 컴플렉스,"네이처드림 활력에 좋은 비타민B 컴플렉스, 30정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,36,36.0,4440,4440,378,378,4.5,4.5,36,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,비타할로 비타민d 2000iu,"비타할로 비타민D 2000IU, 90정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,37,37.0,4990,4990,9058,9058,5.0,5.0,37,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,유한메디카 징코 플러스 엔 탑 혈행 기억력 케어,"유한메디카 징코 플러스 엔 탑 혈행 기억력 케어, 60정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,38,65.0,10360,10360.0,3117,3117,4.5,4.5,38,92,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,종근당건강 원데이21 멀티비타민 앤 미네랄,"종근당건강 원데이21 멀티비타민 앤 미네랄, 60정, 2개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,39,39.0,19500,19500,58615,58615,5.0,5.0,39,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,뉴트리가든 비타민d3 5000iu,"뉴트리가든 비타민D3 5000IU, 180정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,3,21.5,12500,12500.0,40466,40466,5.0,5.0,40,3,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,종근당건강 비타민d 2000iu,"종근당건강 정품 비타민D 2000IU, 90정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,13,27.0,10720,20525.0,675,46735,5.0,5.0,41,13,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,아텍스 맛있는 키즈비타민 350g,"아텍스 맛있는 키즈비타민 350g, 250정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,42,42.0,12830,12830,3588,3588,5.0,5.0,42,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
